UnitNumber,VolumeName,DOSPathName,ParentUnitNumber,VolStartBlockInParent,NonStandardFormat
4,"PSYSX","F:\NDAS-I\d7\Projects\pSystem\Volumes\PSYSTEMX.VOL",,,""
5,"MEDCOD","F:\NDAS-I\d7\Projects\pSystem\Volumes\MEDCOD.VOL",,,""
9,"UTILCOD","F:\NDAS-I\d7\Projects\pSystem\Volumes\UTILCOD.VOL",,,""
10,"RL0","F:\NDAS-I\d7\Projects\pSystem\Volumes\RL0.VOL",,,""
11,"MEDSRC","F:\NDAS-I\d7\Projects\pSystem\Volumes\MEDSRC.VOL",,,""
12,"MISCSRC","F:\NDAS-I\d7\Projects\pSystem\Volumes\MISCSRC.VOL",,,""
13,"MEDCODX","F:\NDAS-I\d7\Projects\pSystem\Volumes\MEDCODX.VOL",,,""
14,"UTILSRC","F:\NDAS-I\d7\Projects\pSystem\Volumes\UTILSRC.VOL",,,""
15,"COMSRC","F:\NDAS-I\d7\Projects\pSystem\Volumes\COMSRC.VOL",,,""
16,"TEST","F:\NDAS-I\d7\Projects\pSystem\Z80EM2010\TEST.RAW",,,"Z80 Emulator"
